Категория;Раздел;Наименование;Код/чертеж;Цена;Количество;Фото
Оборудование;;Исполнительный механизм ИМ-2 (системы АИСТ);;;1;img/oborudonie/DSC04627.JPG
Оборудование;;Насос рулевой машины 2ПД-10;;;1;img/oborudonie/DSC05108.JPG | img/oborudonie/DSC05109.JPG | img/oborudonie/DSC05110.JPG | img/oborudonie/DSC05111.JPG
Оборудование;;Регулятор 14ОРН-50-А;;;1;img/oborudonie/DSC04335.JPG | img/oborudonie/DSC02067.JPG | img/oborudonie/DSC02068.JPG | img/oborudonie/DSC02069.JPG | img/oborudonie/DSC02070.JPG | img/oborudonie/DSC02071.JPG
Оборудование;;Насос НТФ-100 на топливный котел;;;1;img/oborudonie/DSC05405.JPG
Оборудование;;Насос МН-1;;;1;img/oborudonie/DSC05403.JPG | img/oborudonie/DSC05402.JPG
Зип НВД 48А-2У;;Привод регулятора НВД48А-2У в сборе (импорт);;;1;img/zipnvd48a2y/DSC05285.JPG | img/zipnvd48a2y/DSC05282.JPG | img/zipnvd48a2y/DSC05280.JPG | img/zipnvd48a2y/DSC05279.JPG
Зип НВД 48А-2У;;Шестерня привода регулятора (бронзовая, оригинал, импорт) ;;;1;img/zipnvd48a2y/DSC05286.JPG
Зип НВД 48А-2У;;Корпус впускного клапана (оригинал);;;1;img/zipnvd48a2y/DSC05128.JPG
Зип к двигателю 6ЧН 18-22;;Крышка поршня (ч.107-120202);;;5;
Зип к двигателю 6ЧН 18-22;;Насос маслопрокачивающий ручной;;;1;img/zipkdvig6cn1822/IMG_0018.JPG | img/zipkdvig6cn1822/IMG_0019.JPG | img/zipkdvig6cn1822/IMG_0020.JPG
Зип к двигателю 6ЧН 18-22;;Насос гидрозапора четырехболтовой ТН-70-1;;;2;img/zipkdvig6cn1822/IMG_0001.JPG | img/zipkdvig6cn1822/IMG_0002.JPG | img/zipkdvig6cn1822/IMG_0003.JPG
Зип к двигателю 6ЧН 18-22;;Поршень (Гессельмана) 150 л.с. с выточкой под клапана;;;2;img/zipkdvig6cn1822/IMG_0023.JPG | img/zipkdvig6cn1822/IMG_0024.JPG | img/zipkdvig6cn1822/IMG_0025.JPG | img/zipkdvig6cn1822/IMG_0026.JPG
Зип к двигателю 6ЧН 18-22;;Корпус редуктора насоса забортной воды (двигателя 200 кВт);;;2;img/zipkdvig6cn1822/IMG_0021.JPG | img/zipkdvig6cn1822/IMG_0022.JPG
Прочее;;Ротор турбины ТКР-11;;;6;img/prochee/IMG_1468.JPG | img/prochee/IMG_1467.JPG | img/prochee/IMG_1466.JPG | img/prochee/IMG_1465.JPG | img/prochee/IMG_1464.JPG | img/prochee/IMG_1463.JPG | img/prochee/IMG_1462.JPG | img/prochee/IMG_0005.JPG | img/prochee/IMG_0004.JPG | img/prochee/IMG_0006.JPG
Прочее;;ПРУ-5М в сборе комплект;;;2;img/prochee/IMG_0012_LI.JPG | img/prochee/IMG_0017_LI.JPG | img/prochee/IMG_0013.JPG
Прочее;;Клапан СВМ-10;;;8;img/prochee/DSC05624.JPG | img/prochee/DSC05623.JPG | img/prochee/DSC05622.JPG
Прочее;;Зип к насосу ЭПНМ (комплект);;;1;img/prochee/DSC05537.JPG | img/prochee/DSC05538.JPG | img/prochee/DSC05539.JPG | img/prochee/DSC05540.JPG | img/prochee/DSC05541.JPG | img/prochee/DSC05542.JPG
Прочее;;Фильтра рулевых насосов ПД-5;;;2;
Прочее;;Фильтр рулевых насосов ПД-10;;;1;
Прочее;;Датчик Реле контроля смазки тип РКС;;;3;img/prochee/IMG_0014.JPG | img/prochee/IMG_0015.JPG
Прочее;;Светильники СС844Б;;;5;img/prochee/IMG_0010.JPG | img/prochee/IMG_0011.JPG
Прочее;;Крылатка насоса НЦВС 63/30;;;1;img/prochee/IMG_0032.JPG | img/prochee/IMG_0033.JPG
Прочее;;Комплект РТИ ВР проекта 502ЭМ с сертификатом качества;;;1;img/prochee/DSC123.JPG | img/prochee/DSC124.JPG | img/prochee/DSC125.JPG | img/prochee/DSC126.JPG
Прочее;;Винт сферический 002-061-107 на коромысло двигателя 6ЧН 40/46;;;4;img/prochee/IMG_0030.JPG
Прочее;;Датчики указателя оборотов турбины ТКР 41В двигателя 6ЧН 40/46;;;2;img/prochee/IMG_0031.JPG
Прочее;;Пружина к форсунке 602068102 двигателя 6ЧН 40/46;;;18;img/prochee/IMG_0028.JPG
Прочее;;Стекло синее смотровое диаметр=125мм , толщина=6мм на котел КАВ4/7;;;2;img/prochee/IMG_0029.JPG
Прочее;;Лабиринтные уплотнения 158167 турбины ТКР41В;;;4;
Прочее;;Кольцо компрессионное омедненное двигателя 4Ч 10,5/13;;;70;img/prochee/IMG_0007_LI.JPG | img/prochee/IMG_0007.JPG
Прочее;;Кольцо верхнее компрессионное не омедненный двигателя 4Ч 10,5/13;;;50;img/prochee/IMG_0007_LI.JPG | img/prochee/IMG_0007.JPG
Прочее;;Диск сцепления судового редуктора к двигателю 8,5/11;;;1;img/prochee/IMG_0008.JPG | img/prochee/IMG_0009.JPG
Прочее;;Ротор турбины двигателя Шкода 160L PNC;;;1;img/prochee/DSC05187.JPG | img/prochee/DSC05189.JPG | img/prochee/DSC05191.JPG | img/prochee/DSC05192.JPG | img/prochee/DSC05193.JPG | img/prochee/DSC05194.JPG
Прочее;;Фильтр щелевой масляный двигателя Шкода 160L PNC;;;10;img/prochee/DSC05213.JPG | img/prochee/DSC05216.JPG | img/prochee/DSC05218.JPG
Прочее;;Распределитель подачи электроэнергии с берега на судно (разъёмник розетка 704 ШК-4-60 380Вт);;;1;img/prochee/DSC05249.JPG | img/prochee/DSC05251.JPG
Wartsila Vasa 6R32D;;Боковый болт;;;2;
Wartsila Vasa 6R32D;;Круглая гайка М42;;;4;
Wartsila Vasa 6R32D;;Круглая гайка М56;;;4;
Wartsila Vasa 6R32D;;Шпилька рамового подшипника;;;2;img/wartsilavasa6r32d/12.JPG
Wartsila Vasa 6R32D;;Шпилька крышки цилиндра;;;2;
Wartsila Vasa 6R32D;;Втулка цилиндра;;;1;img/wartsilavasa6r32d/77.JPG
Wartsila Vasa 6R32D;;Уплотнительное кольцо круглого сечения втулки цилиндра;;;2;
Wartsila Vasa 6R32D;;Полукольцо опорно-упорного подшипника;;;4;
Wartsila Vasa 6R32D;;Разъемная шестерня;;;1;
Wartsila Vasa 6R32D;;Подшипниковая втулка головного подшипника;;;1;img/wartsilavasa6r32d/28.JPG
Wartsila Vasa 6R32D;;Поршневое кольцо I;;;2;img/wartsilavasa6r32d/photo_2021-03-26_18-20-03.JPG
Wartsila Vasa 6R32D;;Поршневое кольцо II;;;2;img/wartsilavasa6r32d/photo_2021-03-26_18-20-03.JPG
Wartsila Vasa 6R32D;;Поршневое кольцо III;;;2;img/wartsilavasa6r32d/photo_2021-03-26_18-20-03.JPG
Wartsila Vasa 6R32D;;Поршневое кольцо IV;;;2;img/wartsilavasa6r32d/photo_2021-03-26_18-20-03.JPG
Wartsila Vasa 6R32D;;Набор поршневых колец (113002,003,005,006);;;0;img/wartsilavasa6r32d/photo_2021-03-26_18-20-03.JPG
